Timestamp,Content
"April 13, 2025, 09:10 PDT","$AAL’s stock at $10.65, Q1 earnings in focus. Bullish if revenue beats $12.6B."
"April 13, 2025, 15:00 PDT","$AAL’s high debt at $10.65 is risky. Neutral, waiting for earnings catalyst."
"April 14, 2025, 08:20 PDT","$AAL down 2% to $10.44, tariff talks stall. I’m out until Q1 results drop."
"April 14, 2025, 13:55 PDT","$AAL’s stock at $10.44, oversold. Bullish for a rebound to $11.50."
"April 15, 2025, 08:45 PDT","$AAL up 1% to $10.54, Wi-Fi news lifts sentiment. Bullish on loyalty growth."
"April 15, 2025, 14:15 PDT","$AAL’s stock at $10.54, economic uncertainty weighs. Bearish until Q1 clarity."
"April 16, 2025, 09:05 PDT","$AAL down 3% to $10.22, tariff risks hit airlines. Neutral, focus on Q1."
"April 16, 2025, 14:40 PDT","$AAL’s stock at $10.22, premium cabins strong. Bullish if earnings beat."
"April 17, 2025, 08:30 PDT","$AAL flat at $10.22, board nominates Farmer. Neutral, no big stock move."
"April 17, 2025, 15:25 PDT","$AAL’s stock at $10.22, debt load’s heavy. Bearish until cost cuts show up."
"April 18, 2025, 09:15 PDT","$AAL up 2% to $10.42, tariff fears ease. Bullish for $12 by earnings."
"April 18, 2025, 14:50 PDT","$AAL’s stock at $10.42, high costs worry me. Neutral, need Q1 margin growth."
"April 19, 2025, 08:55 PDT","$AAL’s stock at $10.42, international bookings up. Bullish on premium revenue."
"April 19, 2025, 15:30 PDT","$AAL flat at $10.42, tariff talks drag. Bearish short-term, holding long."
"April 20, 2025, 09:20 PDT","$AAL’s stock at $10.42, no major news. Neutral, waiting for Q1 spark."
"April 20, 2025, 14:45 PDT","$AAL’s loyalty program shines, stock at $10.42. Bullish on AAdvantage."
"April 21, 2025, 08:10 PDT","$AAL down 4% to $10.00, leisure demand soft. Bearish ahead of Q1 earnings."
"April 21, 2025, 13:50 PDT","$AAL’s stock at $10.00, oversold pre-earnings. Bullish for a bounce to $11."
"April 22, 2025, 09:25 PDT","$AAL flat at $10.00, Q1 results this week. Neutral, need revenue beat."
"April 22, 2025, 14:35 PDT","$AAL’s stock at $10.00, debt’s a concern. Bearish until Q1 shows progress."
"April 23, 2025, 08:40 PDT","$AAL up 1% to $10.10, earnings tomorrow. Bullish if EPS beats -$0.69."
"April 23, 2025, 15:15 PDT","$AAL’s stock at $10.10, tariff risks linger. Neutral, focus on Q1 results."
"April 24, 2025, 04:05 PDT","$AAL Q1 EPS -$0.59 beats -$0.69, rev $12.55B misses $12.6B. Stock up 0.43%."
"April 24, 2025, 05:50 PDT","$AAL withdraws 2025 forecast, economic uncertainty. Stock flat, bearish vibe."
"April 25, 2025, 08:55 PDT","$AAL up 2% to $10.30, Q1 EPS beat helps. Bullish if demand rebounds."
"April 25, 2025, 14:20 PDT","$AAL’s stock at $10.30, mixed Q1 results. Neutral, tariff risks cap upside."
"April 26, 2025, 09:30 PDT","$AAL’s stock at $10.30, premium demand solid. Bullish for $11.50 target."
"April 26, 2025, 15:05 PDT","$AAL flat at $10.30, economic outlook murky. Bearish until travel picks up."
"April 27, 2025, 08:45 PDT","$AAL’s stock at $10.30, Q1 liquidity at $10.8B. Bullish on balance sheet."
"April 27, 2025, 14:10 PDT","$AAL’s high debt at $10.30 is risky. Neutral, need cost control in Q2."
"April 28, 2025, 09:00 PDT","$AAL up 1% to $9.85, 5-day win streak. Bullish if it breaks $10.50."
"April 28, 2025, 14:25 PDT","$AAL’s stock at $9.85, Q1 miss hurts. Bearish, economic chaos a drag."
"April 29, 2025, 09:40 PDT","$AAL flat at $9.85, tariff talks weigh. Neutral, waiting for Q2 guidance."
"April 29, 2025, 12:15 PDT","$AAL’s stock at $9.85, premium revenue up. Bullish if leisure travel rebounds."
"March 1, 2025, 08:25 PDT","$AAL up 1% to $14.50, fuel costs drop. Bullish despite tariff risks."
"March 1, 2025, 13:00 PDT","$AAL’s stock at $14.50, demand concerns weigh. Bearish short-term, holding."
"March 2, 2025, 08:05 PDT","$AAL flat at $14.50, no major news. Neutral, focus on Q1 earnings."
"March 2, 2025, 14:30 PDT","$AAL’s Q4 revenue up 5% YoY, stock at $14.50. Bullish on travel demand."
"March 3, 2025, 09:30 PDT","$AAL down 2% to $14.20, oil price spike fears. I’m buying for $15."
"March 3, 2025, 15:40 PDT","$AAL’s stock at $14.20, oversold. Bullish for a bounce to $14.80."
"March 4, 2025, 08:35 PDT","$AAL up 3% to $14.60, summer bookings strong. Bullish for $16."
"March 4, 2025, 14:00 PDT","$AAL’s stock at $14.60, debt concerns linger. Bearish short-term."
"March 5, 2025, 10:20 PDT","$AAL flat at $14.60, market’s quiet. Neutral, waiting for Q1 results."
"March 5, 2025, 16:30 PDT","$AAL’s stock at $14.60, travel demand grows. Bullish for $17."
"March 6, 2025, 08:50 PDT","$AAL down 1% to $14.50, oil price concerns. Bearish until Q1 clarity."
"March 6, 2025, 14:15 PDT","$AAL’s stock at $14.50, support at $14. Bullish if it holds."
"March 7, 2025, 09:20 PDT","$AAL up 2% to $14.80, Q1 outlook improves. Bullish for $16.50."
"March 7, 2025, 15:50 PDT","$AAL’s stock at $14.80, volatile on news. Neutral, focus on Q1 beat."
"March 8, 2025, 08:40 PDT","$AAL’s stock at $14.80, domestic travel strong. Bullish for $18."
"March 8, 2025, 15:05 PDT","$AAL flat at $14.80, debt risks cap gains. Bearish short-term."
"March 9, 2025, 09:35 PDT","$AAL down 3% to $14.30, oil price fears return. I’m holding for $16."
"March 9, 2025, 15:20 PDT","$AAL’s stock at $14.30, oversold. Bullish for a rally to $15."
"March 10, 2025, 09:00 PDT","$AAL up 1% to $14.40, travel demand solid. Bullish for $17."
"March 10, 2025, 14:10 PDT","$AAL’s stock at $14.40, fuel costs weigh. Bearish until Q1 results."
"March 11, 2025, 09:25 PDT","$AAL flat at $14.40, no clear driver. Neutral, waiting for earnings."
"March 11, 2025, 14:45 PDT","$AAL’s Q4 margins up 2%, stock at $14.40. Bullish on cost cuts."
"March 12, 2025, 09:15 PDT","$AAL down 2% to $14.10, oil price spike. I’m buying for $15.50."
"March 12, 2025, 14:30 PDT","$AAL’s stock at $14.10, oversold pre-earnings. Bullish for a rally."
"March 13, 2025, 09:50 PDT","$AAL up 4% to $14.70, summer bookings soar. Bullish for $18."
"March 13, 2025, 15:35 PDT","$AAL’s stock at $14.70, volatile on news. Neutral, focus on Q1."
"March 14, 2025, 08:45 PDT","$AAL flat at $14.70, Q1 earnings in focus. Bullish if EPS beats $0.25."
"March 14, 2025, 14:55 PDT","$AAL’s stock at $14.70, debt risks remain. Bearish short-term."
"March 15, 2025, 09:40 PDT","$AAL’s stock at $14.70, travel demand grows. Bullish for $19."
"March 15, 2025, 16:00 PDT","$AAL flat at $14.70, no catalyst. Neutral, waiting for earnings."
"March 16, 2025, 09:10 PDT","$AAL up 3% to $15.10, fuel costs drop. Bullish for $20."
"March 16, 2025, 14:40 PDT","$AAL’s stock at $15.10, debt concerns weigh. Neutral, need Q1 clarity."
"March 17, 2025, 09:30 PDT","$AAL down 1% to $15.00, oil price fears. Bearish until Q1."
"March 17, 2025, 15:15 PDT","$AAL’s stock at $15.00, oversold. Bullish for a bounce to $16."
"March 18, 2025, 09:05 PDT","$AAL up 2% to $15.30, travel demand strong. Bullish for $21."
"March 18, 2025, 15:25 PDT","$AAL’s stock at $15.30, fuel costs persist. Neutral, waiting for Q1."
"March 19, 2025, 09:20 PDT","$AAL flat at $15.30, market’s quiet. Bullish on travel long-term."
"March 19, 2025, 14:50 PDT","$AAL’s stock at $15.30, debt concerns weigh. Bearish short-term."
"March 20, 2025, 08:55 PDT","$AAL down 2% to $15.00, oil price spike. I’m holding for $17."
"March 20, 2025, 14:05 PDT","$AAL’s stock at $15.00, support at $14.50. Bullish if it holds."
"March 21, 2025, 09:45 PDT","$AAL up 5% to $15.80, Q1 outlook optimism. Bullish for $22."
"March 21, 2025, 15:10 PDT","$AAL’s stock at $15.80, overbought. Neutral, waiting for pullback."
"March 22, 2025, 09:00 PDT","$AAL’s stock at $15.80, travel demand soars. Bullish for $23."
"March 22, 2025, 14:35 PDT","$AAL flat at $15.80, debt talks drag. Bearish short-term."
"March 23, 2025, 09:25 PDT","$AAL down 3% to $15.30, oil price fears. Neutral, holding."
"March 23, 2025, 15:40 PDT","$AAL’s stock at $15.30, oversold. Bullish for a rally to $16.50."
"March 24, 2025, 08:50 PDT","$AAL up 2% to $15.60, travel demand news. Bullish for $24."
"March 24, 2025, 14:20 PDT","$AAL’s stock at $15.60, debt risks cap upside. Neutral, waiting."
"March 25, 2025, 09:35 PDT","$AAL flat at $15.60, Q1 earnings loom. Bullish if margins strong."
"March 25, 2025, 15:05 PDT","$AAL’s stock at $15.60, fuel costs linger. Bearish short-term."
"March 26, 2025, 09:10 PDT","$AAL up 1% to $15.80, travel demand hyped. Bullish for $25."
"March 26, 2025, 14:30 PDT","$AAL’s stock at $15.80, volatile on news. Neutral, focus on Q1."
"March 27, 2025, 09:15 PDT","$AAL down 2% to $15.50, oil price fears. I’m buying for $18."
"March 27, 2025, 15:50 PDT","$AAL’s stock at $15.50, oversold. Bullish for a bounce to $16.50."
"March 28, 2025, 08:45 PDT","$AAL up 4% to $16.10, tariff relief hopes. Bullish for $26."
"March 28, 2025, 14:15 PDT","$AAL’s stock at $16.10, overbought post-rally. Neutral, waiting for Q1."
"March 29, 2025, 09:30 PDT","$AAL’s stock at $16.10, travel demand soars. Bullish for $27."
"March 29, 2025, 15:00 PDT","$AAL flat at $16.10, market’s cautious. Neutral, need Q1 beat."
"March 30, 2025, 09:15 PDT","$AAL down 1% to $16.00, oil price noise back. Bearish short-term."
"March 30, 2025, 14:45 PDT","$AAL’s stock at $16.00, support at $15.50. Bullish if it holds."
"March 31, 2025, 09:25 PDT","$AAL up 0.5% to $16.10, Q1 anticipation. Bullish for $28."
"March 31, 2025, 12:35 PDT","$AAL’s stock at $16.10, debt risks linger. Neutral, waiting for Q1."
